### DATA:
#
# 393
#      Q             I(Q)           Error     
4.82851252E-01  3.47835943E-04  6.32643350E-04
4.84120243E-01  -6.71446323E-05  6.99980650E-04
4.85389234E-01  8.48904252E-04  7.10297492E-04
4.86658226E-01  3.51890922E-05  7.30763015E-04
4.87927217E-01  1.76353380E-04  7.81525974E-04
4.89196209E-01  -2.72661448E-04  8.50881916E-04
4.90465200E-01  1.84427388E-03  8.71788070E-04
4.91734192E-01  1.10820122E-03  9.56219854E-04
4.93003183E-01  -3.00839543E-04  1.06671790E-03
4.94272175E-01  4.64921817E-04  1.11311360E-03
4.95541166E-01  -5.69853932E-04  1.22065295E-03
4.96810158E-01  1.69631094E-05  1.27049547E-03
4.98079149E-01  -1.51613355E-03  1.43159472E-03
4.99348141E-01  9.67565924E-04  1.50119595E-03
5.00617132E-01  1.49343908E-03  1.68706314E-03
5.01886123E-01  3.44976410E-03  1.71170139E-03
5.03155115E-01  -1.56701542E-03  2.05019163E-03
5.04424106E-01  4.63208370E-03  2.21482152E-03
5.05693098E-01  3.85987200E-03  2.75274646E-03
5.06962089E-01  2.92673893E-03  3.16027878E-03
5.08231081E-01  7.20317848E-03  6.20858232E-03
5.09500072E-01  0.00000000E+00  0.00000000E+00
5.10769064E-01  0.00000000E+00  0.00000000E+00
5.12038055E-01  0.00000000E+00  0.00000000E+00
5.13307047E-01  0.00000000E+00  0.00000000E+00


### HEADER:
#
#{
#    "analysis": {},
#    "calibration_params": {
#        "Beam_Center_X": 316.5,
#        "Beam_Center_Y": 253.5,
#        "Detector Tilt": 0.0,
#        "Detector Tilt Plane Rotation": 0.0,
#        "Detector_X_Pixel_Size": 172.0,
#        "Detector_Y_Pixel_Size": 172.0,
#        "Integration Method": "nosplit_csr",
#        "Radial_Average_Method": "pyFAI",
#        "Sample-to-detector distance (mm)": 632.5,
#        "Wavelength (A)": 1.3403697127913543
#    },
#    "config_file": null,
#    "filename": "S_A_11792_A1_Phosphate_000.dat",
#    "history": {
#        "subtraction": {
#            "initial_file": [
#                "A_11792_A1_Phosphate_000",
#                {
#                    "averaged_files": [
#                        [
#                            "11792_A1_Phosphate_000.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_001.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_002.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_003.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_004.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_005.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_006.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_007.tiff"
#                        ],
#                        [
#                            "11792_A1_Phosphate_008.tiff"
#                        ]
#                    ]
#                }
#            ],
#            "subtracted_file": [
#                "A_11791_A1_MQ_000",
#                {
#                    "averaged_files": [
#                        [
#                            "11791_A1_MQ_000.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_001.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_002.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_003.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_004.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_005.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_006.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_007.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_008.tiff"
#                        ],
#                        [
#                            "11791_A1_MQ_009.tiff"
#                        ]
#                    ]
#                }
#            ]
#        }
#    },
#    "imageHeader": {
#        "Img.ImgType": "2D",
#        "Img.Site": "TUM",
#        "beam_x": 316.33,
#        "beam_y": 231.94,
#        "beamcenter_actual": "316.33    231.94",
#        "beamcenter_nominal": "316.33    231.94",
#        "bstop": 32.0,
#        "calibrationtype": "geom",
#        "configuraton_number": 2.0,
#        "data_added_constant": 0.0,
#        "data_multiplied_constant": 1.0,
#        "datatype": "tiff",
#        "det_count_cutoff": 1147717.0,
#        "det_excluded_pixels": "badpix_mask.tif",
#        "det_exposure_period": 62.0,
#        "det_exposure_time": 60.0,
#        "det_flat_field": "(nil)",
#        "det_n_excluded_pixels": 30.0,
#        "det_pixel_size": "172e-6 172e-6",
#        "det_tau": 0.0,
#        "det_thickness": 0.00045,
#        "det_threshold_setting": 4024.0,
#        "det_trim_directory": "p3-0242_E8048_T4024.bin",
#        "detector_function": "saxs",
#        "detector_sn": "dec1174",
#        "detectortype": "Pilatus",
#        "dety": 1.371563,
#        "detz": 0.0,
#        "dxdont": 525.0,
#        "error_norm_fact": 1.0,
#        "exposure_time": 60.0,
#        "flatfield_applied": 0.0,
#        "hg1": 2.5,
#        "hg2": 1.05,
#        "hg3": 0.0,
#        "hp1": 0.0,
#        "hp2": 0.0,
#        "hp3": 0.0,
#        "integration_time": 60.0,
#        "livetime": 60.0,
#        "log": "log",
#        "pd": 0.0,
#        "photons_per_100adu": 100.0,
#        "pixelsize": "0.172 0.172",
#        "pixelsize_x": 172.0,
#        "pixelsize_y": 172.0,
#        "reduction_type": "s",
#        "sample_angle1": 0.0,
#        "sample_bio_cell_temp": 25.0,
#        "sample_bio_code": "None",
#        "sample_bio_run_number": 1.0,
#        "sample_bio_uv_dark": 1.0,
#        "sample_bio_uv_pathlength": 1.5,
#        "sample_bio_uv_trans": 1.0,
#        "sample_concentration": 1.0,
#        "sample_transfact": 1.0,
#        "sample_ypos": 2.5,
#        "sample_zpos": 68.9,
#        "saturated_value": 1147717.0,
#        "saxsconf_Ieff": 1.0,
#        "saxsconf_det_offx": 0.0,
#        "saxsconf_det_offy": 0.0,
#        "saxsconf_det_pixsizey": 0.172,
#        "saxsconf_det_pixsizez": 0.172,
#        "saxsconf_det_rotx": 0.0,
#        "saxsconf_det_roty": 0.0,
#        "saxsconf_dwavelength": 0.004,
#        "saxsconf_l1": 725.0,
#        "saxsconf_l2": 400.0,
#        "saxsconf_l3": 200.0,
#        "saxsconf_r1": 1.25,
#        "saxsconf_r2": 0.525,
#        "saxsconf_r3": 0.0,
#        "saxsconf_wavelength": 1.3428,
#        "solz": 0.0,
#        "source_kV": 0.0,
#        "source_ma": 0.0,
#        "source_type": "EXCILLUMMETALJET",
#        "thsam": 0.0,
#        "vg1": 2.5,
#        "vg2": 1.05,
#        "vg3": 0.0,
#        "vp1": 0.0,
#        "vp2": 0.0,
#        "vp3": 0.0,
#        "wavelength": 1.3428,
#        "xaxisbintype": "lin",
#        "zinger_removal": 0.0,
#        "zsam": 68.9
#    },
#    "normalizations": {
#        "Absolute_scale": {
#            "Absolute_scale_factor": 0.7601938,
#            "Method": "Water"
#        },
#        "Counter_norms": [
#            [
#                "/",
#                "exposure_time"
#            ],
#            [
#                "/",
#                "saxsconf_Izero/1e8"
#            ]
#        ],
#        "Polarization": {
#            "Used": false
#        },
#        "Solid_Angle_Correction": "On"
#    },
#    "raw_version": "2.1.4"
#}

